Case qj == j - 2: k=1, m=0, j=5, yk=3.0, qj=3, binStr=0111: 0.0
Case qj == j - 2: k=9, m=46, j=49, yk=262143.0, qj=47, binStr=01111111111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=10, m=0, j=5, yk=1048575.0, qj=3, binStr=0111: 155344.0
Case qj == j - 2: k=10, m=0, j=6, yk=1048575.0, qj=4, binStr=01111: 51781.0
Case qj == j - 2: k=10, m=0, j=7, yk=1048575.0, qj=5, binStr=011111: 17260.0
Case qj == j - 2: k=10, m=0, j=8, yk=1048575.0, qj=6, binStr=0111111: 5753.0
Case qj == j - 2: k=14, m=1, j=5, yk=268435455.0, qj=3, binStr=101: 39768215.0
Correct Collatz number for k=14, m=1, j=5, qj=3: 39768215.0
Case qj == j - 2: k=17, m=2, j=5, yk=17179869183.0, qj=3, binStr=011: 2545165804.0
Case qj == j - 2: k=17, m=2, j=6, yk=17179869183.0, qj=4, binStr=1011: 848388601.0
Case qj == j - 2: k=17, m=2, j=7, yk=17179869183.0, qj=5, binStr=11011: 282796200.0
Case qj == j - 2: k=19, m=0, j=5, yk=274877906943.0, qj=3, binStr=0111: 40722652880.0
Case qj == j - 2: k=23, m=1, j=5, yk=70368744177663.0, qj=3, binStr=101: 10424999137431.0
Correct Collatz number for k=23, m=1, j=5, qj=3: 10424999137431.0
Case qj == j - 2: k=26, m=2, j=5, yk=4503599627370495.0, qj=3, binStr=011: 667199944795628.0
Case qj == j - 2: k=26, m=3, j=6, yk=4503599627370495.0, qj=4, binStr=0111: 222399981598542.0
Case qj == j - 2: k=27, m=3, j=6, yk=1.8014398509481984e+16, qj=4, binStr=0111: 889599926394171.0
Case qj == j - 2: k=28, m=0, j=5, yk=7.205759403792794e+16, qj=3, binStr=0111: 1.0675199116730064e+16
Case qj == j - 2: k=28, m=1, j=5, yk=7.205759403792794e+16, qj=3, binStr=101: 1.0675199116730064e+16
Case qj == j - 2: k=28, m=2, j=5, yk=7.205759403792794e+16, qj=3, binStr=011: 1.0675199116730064e+16
Case qj == j - 2: k=28, m=0, j=6, yk=7.205759403792794e+16, qj=4, binStr=01111: 3558399705576688.0
Case qj == j - 2: k=28, m=1, j=6, yk=7.205759403792794e+16, qj=4, binStr=1101: 3558399705576688.0
Case qj == j - 2: k=28, m=0, j=8, yk=7.205759403792794e+16, qj=6, binStr=0111111: 395377745064076.0
Case qj == j - 2: k=28, m=1, j=8, yk=7.205759403792794e+16, qj=6, binStr=111101: 395377745064076.0
Case qj == j - 2: k=29, m=0, j=5, yk=2.8823037615171174e+17, qj=3, binStr=0111: 4.270079646692026e+16
Case qj == j - 2: k=29, m=1, j=5, yk=2.8823037615171174e+17, qj=3, binStr=101: 4.270079646692026e+16
